"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003014","GO:0003014","renal system process",129,-0.52173570228793,-1.63025683232142,0.000418227156570274,0.00584955381768019,0.00435204987802298,2774,"tags=29%, list=10%, signal=26%","23607/81693/4645/66002/6869/4643/80763/51763/3493/1136/1143/81285/28912/6565/9368/112/5566/10391/1910/3043/596/3494/685/185/4881/1188/5567/3512/3778/6338/11280/2150/2934/3291/5125/79085/6446/9429"
"GO:0000086","GO:0000086","G2/M transition of mitotic cell cycle",140,0.561937966564348,1.64620676128895,0.00041965944231798,0.00585645548362317,0.00435718469605551,2908,"tags=34%, list=11%, signal=30%","994/595/1017/6790/9833/90381/9088/9928/990/1111/891/55920/80174/1019/80279/29980/51514/983/332/5347/995/672/2305/1063/84930/993/11200/63967/6502/890/9024/284001/9212/641/26271/545/51400/4998/11073/79621/60672/8317/8883/4361/51360/8870/79035"
"GO:0120178","GO:0120178","steroid hormone biosynthetic process",42,-0.689745654215933,-1.80263964994069,0.000424236681781789,0.00589396084845166,0.00438508857103717,1425,"tags=31%, list=5%, signal=29%","1583/8630/654/1181/653/8912/2908/3284/650/51170/3294/6342/79154"
"GO:0141193","GO:0141193","nuclear receptor-mediated signaling pathway",176,-0.477993625159458,-1.54685884704389,0.000423870965695704,0.00589396084845166,0.00438508857103717,1656,"tags=16%, list=6%, signal=16%","406/57178/4246/2852/5241/9604/2908/6256/9971/5187/9325/7068/7421/8648/9745/1408/6943/55625/133522/6422/650/55885/11240/8031/25959/4306/6258/10370/8611"
"GO:0023061","GO:0023061","signal release",489,-0.382738668358343,-1.35459025739227,0.000428399274778186,0.00593856594681406,0.00441827462572403,4356,"tags=32%, list=16%, signal=27%","6928/5208/6814/131177/2281/134957/19/2864/338557/100507043/8773/5468/2029/9900/8676/2645/114131/51714/120892/5027/9607/2850/65220/7021/358/2746/6572/1946/5578/90007/388581/6861/5798/80024/7779/2308/7074/4089/415117/55784/6352/51548/6566/5106/90550/2781/8792/114899/401258/2641/815/130399/399979/5908/22930/23409/23396/169026/6869/6854/8399/6571/6833/9783/286676/6860/150/23208/5894/2260/143425/8723/6623/6616/2822/8322/640/6622/54795/1956/6934/5071/8673/389692/94121/9899/1136/140730/1143/81285/2044/8867/3708/139760/5608/5581/8425/6855/5566/406/286097/22895/695/5532/55512/127262/2587/1910/654/4129/3033/2852/9854/4826/4208/79971/5467/846/22871/7432/185/9971/2668/80736/51092/5030/1113/6844/1408/9342/140/1393/5025/5023/9378/6422/2901/5579/1268/5663/1908/111/6717/2150/84417/65018/1374/3745/5028/818/6865/5125/3741/6387/2767/2775/5906"
"GO:0034508","GO:0034508","centromere complex assembly",30,0.785700825568896,1.8410445262523,0.000438453190099604,0.00606445897969253,0.00451193865129923,3823,"tags=57%, list=14%, signal=49%","55355/2491/1058/55839/64946/401541/1063/79172/9735/9787/1062/387103/54069/11339/80152/4678/64105"
"GO:0021762","GO:0021762","substantia nigra development",45,-0.682105447691303,-1.81784256303107,0.000439689580561375,0.00606810531757049,0.00451465151535888,4167,"tags=40%, list=16%, signal=34%","808/2254/1152/2746/522/4155/2247/805/9118/998/515/4129/284612/838/57447/11240/801/5354"
"GO:0030174","GO:0030174","regulation of DNA-templated DNA replication initiation",16,0.874439234515824,1.82248597359745,0.000450470381059858,0.00620316608620617,0.00461513630787246,2289,"tags=62%, list=9%, signal=57%","345643/1017/90381/4172/4176/4173/4175/81620/4171/56897"
"GO:0007613","GO:0007613","memory",127,-0.522085607516109,-1.62736871533535,0.000474274854504769,0.00651657828722632,0.00484831401231516,3741,"tags=40%, list=14%, signal=35%","3269/80208/338811/2258/342371/729956/3643/3776/7436/22986/57338/6869/6833/6860/23208/2903/2890/6616/123803/7846/5621/54207/814/55450/1524/6547/23316/4130/139411/5532/114781/55902/4137/6543/5649/6505/266743/1979/4593/1268/1827/9215/8516/22849/5663/8850/6285/9867/6517/5764/6446"
"GO:0043247","GO:0043247","telomere maintenance in response to DNA damage",33,0.755224899486065,1.80998161124692,0.000481223327566016,0.00659358980639657,0.00490561034346408,3588,"tags=39%, list=14%, signal=34%","8607/1017/79913/10459/65057/86/51750/10856/83444/149840/64858/7515/328"
"GO:0060326","GO:0060326","cell chemotaxis",298,-0.425347185251343,-1.44953913491564,0.000481993740255985,0.00659358980639657,0.00490561034346408,3285,"tags=29%, list=12%, signal=26%","80024/7074/79647/7409/5919/3965/6352/57118/10563/10803/683/5293/1236/1880/90550/8792/7060/1843/6441/5594/6846/1436/5156/23396/9750/3071/199/387695/2260/6504/57509/8729/2247/1435/6363/9353/54795/1240/1901/6357/643/4739/5595/2660/6366/3815/2826/6355/1524/5580/6358/1269/6359/1910/682/1398/729230/5294/120425/7857/51411/3958/56477/26228/1511/185/80310/83700/3603/1907/1113/2549/55742/79148/2185/5025/1908/1238/2150/1902/6368/11240/6387/5764/2277/3570"
"GO:0045576","GO:0045576","mast cell activation",69,-0.61374166989871,-1.73253389638598,0.000485508146070305,0.00662713307480649,0.00493056643101227,5676,"tags=54%, list=21%, signal=42%","136/2624/146722/5170/11314/5880/10666/3497/284021/2623/117194/2242/5729/8773/7462/85480/399/9846/3965/5293/401258/6571/8013/387695/8723/8673/3815/10397/3566/695/1269/5294/2294/2205/1113/1268/11280"
"GO:0006271","GO:0006271","DNA strand elongation involved in DNA replication",15,0.874265486190162,1.81761613555775,0.00048672197910132,0.00662919586382977,0.00493210113964082,2190,"tags=80%, list=8%, signal=73%","5983/9837/5984/4172/5425/4176/4173/1763/3978/5422/5111/3980"
"GO:0002263","GO:0002263","cell activation involved in immune response",305,-0.418237254800069,-1.43325921020527,0.000490190912709318,0.00666189741499069,0.00495643099216921,3271,"tags=34%, list=12%, signal=31%","114836/8809/2623/149233/100431172/3109/23075/148022/2033/6097/117194/3142/6775/2242/5729/6814/30009/969/51744/8773/5295/2213/7462/3936/3586/5788/940/56892/6774/164/4242/6693/1015/4615/9846/3606/3716/3683/3965/1378/3558/5293/26022/1880/959/55619/401258/1794/8741/54518/6571/57379/8013/3071/51111/387695/6504/8729/8723/5450/6363/8673/117157/202309/3815/5581/1524/3566/5130/695/930/911/4064/4092/3572/25/729230/5294/11126/2294/4063/3958/3662/5105/2205/5336/1776/1113/6844/2185/5734/6338/5663/9452/23228/57126/11280/2150/10875/51043/634/5873/80031/159296/3570"
"GO:0071675","GO:0071675","regulation of mononuclear cell migration",142,-0.508615333537736,-1.61407655248351,0.00049324584868496,0.00668884261760169,0.0049764781392494,3625,"tags=36%, list=14%, signal=31%","3676/58515/6693/5795/80024/79647/5919/3965/6352/10563/1236/83692/1843/5594/131450/1436/9750/199/387695/6504/57509/1435/57142/9353/1240/3690/4739/5595/2660/11035/6366/1524/1398/25/729230/653/148823/3958/26228/8174/80310/83700/84830/64805/79148/2185/5025/8976/58494/11240/6387"
"GO:0070884","GO:0070884","regulation of calcineurin-NFAT signaling cascade",37,-0.720905908073425,-1.83612627900617,0.000497110847372009,0.00672663224708588,0.00500459350625228,1994,"tags=35%, list=8%, signal=33%","3479/5621/5598/9495/5532/8445/5336/6548/9472/1827/63928/493/11261"
"GO:0071168","GO:0071168","protein localization to chromatin",61,0.670959428274202,1.76781131571296,0.000499629453750983,0.00674607907467237,0.005019061885596,4900,"tags=41%, list=19%, signal=33%","2146/1058/51176/5347/4796/253714/3009/84515/8364/9555/8366/10856/8367/4436/8360/222229/8335/23613/51149/7443/8359/200558/51535/8368/157570"
